GrainID,Area,Diameter,GSAR,MAO,Schmid_Factor,Taylor_Factor,Num_Neighbors,Sector1_Phase,Sector2_Phase,Sector3_Phase,Sector4_Phase,Sector5_Phase,Sector6_Phase,Sector7_Phase,Sector8_Phase,Surrounding_Ferrite,Surrounding_Martensite,Surrounding_RA,Sector1_TF,Sector2_TF,Sector3_TF,Sector4_TF,Sector5_TF,Sector6_TF,Sector7_TF,Sector8_TF
319,0.2688,0.59,0.27,102.1,0.494001111112137,2.55448,5,2,3,3,2,1,2,1,1,0.82089552238806,0.0796019900497513,0.0995024875621891,2.55085,2.88817,2.88817,2.55085,2.81465,2.55085,2.57222,2.81465
320,0.3072,0.63,0.47,110,0.377961625950493,2.81465,4,1,3,3,1,2,3,2,2,0.800728469040066,0.120314886617319,0.0789566443426154,2.55448,2.88817,2.88817,2.55448,2.48483,2.55801,2.48483,2.48483
321,0.064,0.29,0.36,161.6,0.490902810998708,2.59735,2,2,2,2,2,2,2,2,2,1,0,0,2.70919,2.70919,2.70919,2.57578,2.70919,2.57578,2.57578,2.70919
325,0.4224,0.73,0.34,130.6,0.488656658016969,2.77149,4,3,2,2,3,2,3,3,2,0.733051521556328,0.266948478443672,0,2.69954,3.06907,3.06907,2.69954,2.57578,2.52663,2.52663,2.57578
326,1.082,1.17,0.42,161.6,0.355645629622685,3.32362,2,2,2,2,3,2,3,3,3,0.985853227232538,0.0141467727674624,0,2.36072,2.36072,2.36072,2.28436,2.36072,2.28436,2.28436,2.28436
329,0.2048,0.51,0.39,110,0.381018070535185,2.57222,4,1,1,2,1,2,1,1,2,0.845218901153417,0.043656207366985,0.111124891479598,2.55448,2.55448,2.48483,2.59743,2.48483,2.59743,2.59743,2.48483
331,0.192,0.49,0.3,142.1,0.353795702213611,3.36022,3,2,2,2,2,2,2,2,2,0.982315910874754,0.0176840891252463,0,2.36072,2.36072,2.36072,2.36072,2.36072,2.36072,2.36072,2.36072
334,0.096,0.35,0.24,116.6,0.493907887957065,2.64699,2,2,2,2,2,2,2,2,2,1,0,0,2.57578,2.70919,2.70919,2.57578,2.70919,2.57578,2.70919,2.70919
335,0.0896,0.34,0.24,110.6,0.498138681208078,2.59743,2,2,2,1,2,1,2,1,1,0.953757225433526,0,0.046242774566474,2.55085,2.55085,2.57222,2.55085,2.57222,2.55085,2.57222,2.57222
337,0.0704,0.3,0.67,53.1,0.383814524670599,2.76945,2,2,2,2,2,2,2,2,2,1,0,0,2.48483,2.34938,2.34938,2.48483,2.34938,2.48483,2.34938,2.34938
